Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
16,00:00:00,97,19-04-2023,18:36:55,00:39:12,88,166
,00:00:01,97,,,,,
,00:00:02,97,,,,,
,00:00:03,96,,,,,
,00:00:04,95,,,,,
,00:00:05,93,,,,,
,00:00:06,92,,,,,
,00:00:07,93,,,,,
,00:00:08,93,,,,,
,00:00:09,94,,,,,
,00:00:10,95,,,,,
,00:00:11,95,,,,,
,00:00:12,93,,,,,
,00:00:13,94,,,,,
,00:00:14,94,,,,,
,00:00:15,94,,,,,
,00:00:16,94,,,,,
,00:00:17,95,,,,,
,00:00:18,95,,,,,
,00:00:19,96,,,,,
,00:00:20,97,,,,,
,00:00:21,98,,,,,
,00:00:22,96,,,,,
,00:00:23,95,,,,,
,00:00:24,95,,,,,
,00:00:25,96,,,,,
,00:00:26,95,,,,,
,00:00:27,95,,,,,
,00:00:28,95,,,,,
,00:00:29,94,,,,,
,00:00:30,95,,,,,
,00:00:31,97,,,,,
,00:00:32,97,,,,,
,00:00:33,93,,,,,
,00:00:34,92,,,,,
,00:00:35,92,,,,,
,00:00:36,94,,,,,
,00:00:37,95,,,,,
,00:00:38,95,,,,,
,00:00:39,97,,,,,
,00:00:40,97,,,,,
,00:00:41,98,,,,,
,00:00:42,98,,,,,
,00:00:43,98,,,,,
,00:00:44,96,,,,,
,00:00:45,96,,,,,
,00:00:46,96,,,,,
,00:00:47,96,,,,,
,00:00:48,97,,,,,
,00:00:49,98,,,,,
,00:00:50,99,,,,,
,00:00:51,100,,,,,
,00:00:52,99,,,,,
,00:00:53,94,,,,,
,00:00:54,94,,,,,
,00:00:55,94,,,,,
,00:00:56,91,,,,,
,00:00:57,91,,,,,
,00:00:58,88,,,,,
,00:00:59,87,,,,,
,00:01:00,87,,,,,
,00:01:01,85,,,,,
,00:01:02,85,,,,,
,00:01:03,87,,,,,
,00:01:04,87,,,,,
,00:01:05,90,,,,,
,00:01:06,91,,,,,
,00:01:07,92,,,,,
,00:01:08,92,,,,,
,00:01:09,93,,,,,
,00:01:10,92,,,,,
,00:01:11,93,,,,,
,00:01:12,93,,,,,
,00:01:13,93,,,,,
,00:01:14,93,,,,,
,00:01:15,93,,,,,
,00:01:16,92,,,,,
,00:01:17,92,,,,,
,00:01:18,94,,,,,
,00:01:19,96,,,,,
,00:01:20,97,,,,,
,00:01:21,95,,,,,
,00:01:22,95,,,,,
,00:01:23,93,,,,,
,00:01:24,92,,,,,
,00:01:25,91,,,,,
,00:01:26,92,,,,,
,00:01:27,93,,,,,
,00:01:28,96,,,,,
,00:01:29,97,,,,,
,00:01:30,94,,,,,
,00:01:31,94,,,,,
,00:01:32,95,,,,,
,00:01:33,97,,,,,
,00:01:34,98,,,,,
,00:01:35,100,,,,,
,00:01:36,100,,,,,
,00:01:37,101,,,,,
,00:01:38,100,,,,,
,00:01:39,99,,,,,
,00:01:40,97,,,,,
,00:01:41,94,,,,,
,00:01:42,93,,,,,
,00:01:43,92,,,,,
,00:01:44,93,,,,,
,00:01:45,92,,,,,
,00:01:46,92,,,,,
,00:01:47,92,,,,,
,00:01:48,90,,,,,
,00:01:49,89,,,,,
,00:01:50,89,,,,,
,00:01:51,90,,,,,
,00:01:52,89,,,,,
,00:01:53,88,,,,,
,00:01:54,85,,,,,
,00:01:55,85,,,,,
,00:01:56,85,,,,,
,00:01:57,86,,,,,
,00:01:58,87,,,,,
,00:01:59,88,,,,,
,00:02:00,88,,,,,
,00:02:01,86,,,,,
,00:02:02,84,,,,,
,00:02:03,84,,,,,
,00:02:04,85,,,,,
,00:02:05,85,,,,,
,00:02:06,85,,,,,
,00:02:07,86,,,,,
,00:02:08,86,,,,,
,00:02:09,87,,,,,
,00:02:10,87,,,,,
,00:02:11,88,,,,,
,00:02:12,89,,,,,
,00:02:13,90,,,,,
,00:02:14,91,,,,,
,00:02:15,91,,,,,
,00:02:16,91,,,,,
,00:02:17,88,,,,,
,00:02:18,87,,,,,
,00:02:19,86,,,,,
,00:02:20,85,,,,,
,00:02:21,85,,,,,
,00:02:22,86,,,,,
,00:02:23,86,,,,,
,00:02:24,87,,,,,
,00:02:25,88,,,,,
,00:02:26,87,,,,,
,00:02:27,87,,,,,
,00:02:28,87,,,,,
,00:02:29,88,,,,,
,00:02:30,88,,,,,
,00:02:31,88,,,,,
,00:02:32,88,,,,,
,00:02:33,88,,,,,
,00:02:34,88,,,,,
,00:02:35,87,,,,,
,00:02:36,89,,,,,
,00:02:37,89,,,,,
,00:02:38,90,,,,,
,00:02:39,90,,,,,
,00:02:40,89,,,,,
,00:02:41,89,,,,,
,00:02:42,90,,,,,
,00:02:43,90,,,,,
,00:02:44,90,,,,,
,00:02:45,91,,,,,
,00:02:46,91,,,,,
,00:02:47,92,,,,,
,00:02:48,93,,,,,
,00:02:49,92,,,,,
,00:02:50,92,,,,,
,00:02:51,92,,,,,
,00:02:52,92,,,,,
,00:02:53,93,,,,,
,00:02:54,93,,,,,
,00:02:55,93,,,,,
,00:02:56,92,,,,,
,00:02:57,91,,,,,
,00:02:58,90,,,,,
,00:02:59,89,,,,,
,00:03:00,90,,,,,
,00:03:01,90,,,,,
,00:03:02,90,,,,,
,00:03:03,88,,,,,
,00:03:04,87,,,,,
,00:03:05,86,,,,,
,00:03:06,86,,,,,
,00:03:07,86,,,,,
,00:03:08,87,,,,,
,00:03:09,88,,,,,
,00:03:10,88,,,,,
,00:03:11,88,,,,,
,00:03:12,88,,,,,
,00:03:13,89,,,,,
,00:03:14,89,,,,,
,00:03:15,90,,,,,
,00:03:16,90,,,,,
,00:03:17,91,,,,,
,00:03:18,92,,,,,
,00:03:19,92,,,,,
,00:03:20,91,,,,,
,00:03:21,91,,,,,
,00:03:22,91,,,,,
,00:03:23,91,,,,,
,00:03:24,91,,,,,
,00:03:25,92,,,,,
,00:03:26,93,,,,,
,00:03:27,94,,,,,
,00:03:28,93,,,,,
,00:03:29,91,,,,,
,00:03:30,91,,,,,
,00:03:31,90,,,,,
,00:03:32,90,,,,,
,00:03:33,90,,,,,
,00:03:34,90,,,,,
,00:03:35,90,,,,,
,00:03:36,90,,,,,
,00:03:37,92,,,,,
,00:03:38,92,,,,,
,00:03:39,92,,,,,
,00:03:40,92,,,,,
,00:03:41,91,,,,,
,00:03:42,91,,,,,
,00:03:43,91,,,,,
,00:03:44,91,,,,,
,00:03:45,91,,,,,
,00:03:46,92,,,,,
,00:03:47,89,,,,,
,00:03:48,89,,,,,
,00:03:49,89,,,,,
,00:03:50,90,,,,,
,00:03:51,91,,,,,
,00:03:52,91,,,,,
,00:03:53,91,,,,,
,00:03:54,91,,,,,
,00:03:55,92,,,,,
,00:03:56,92,,,,,
,00:03:57,91,,,,,
,00:03:58,91,,,,,
,00:03:59,90,,,,,
,00:04:00,89,,,,,
,00:04:01,90,,,,,
,00:04:02,91,,,,,
,00:04:03,93,,,,,
,00:04:04,93,,,,,
,00:04:05,92,,,,,
,00:04:06,92,,,,,
,00:04:07,93,,,,,
,00:04:08,94,,,,,
,00:04:09,96,,,,,
,00:04:10,95,,,,,
,00:04:11,94,,,,,
,00:04:12,94,,,,,
,00:04:13,94,,,,,
,00:04:14,94,,,,,
,00:04:15,93,,,,,
,00:04:16,92,,,,,
,00:04:17,92,,,,,
,00:04:18,92,,,,,
,00:04:19,93,,,,,
,00:04:20,93,,,,,
,00:04:21,91,,,,,
,00:04:22,91,,,,,
,00:04:23,92,,,,,
,00:04:24,92,,,,,
,00:04:25,92,,,,,
,00:04:26,92,,,,,
,00:04:27,92,,,,,
,00:04:28,91,,,,,
,00:04:29,91,,,,,
,00:04:30,91,,,,,
,00:04:31,92,,,,,
,00:04:32,92,,,,,
,00:04:33,92,,,,,
,00:04:34,93,,,,,
,00:04:35,93,,,,,
,00:04:36,94,,,,,
,00:04:37,94,,,,,
,00:04:38,91,,,,,
,00:04:39,91,,,,,
,00:04:40,89,,,,,
,00:04:41,89,,,,,
,00:04:42,90,,,,,
,00:04:43,92,,,,,
,00:04:44,93,,,,,
,00:04:45,95,,,,,
,00:04:46,95,,,,,
,00:04:47,93,,,,,
,00:04:48,91,,,,,
,00:04:49,91,,,,,
,00:04:50,90,,,,,
,00:04:51,90,,,,,
,00:04:52,90,,,,,
,00:04:53,91,,,,,
,00:04:54,91,,,,,
,00:04:55,92,,,,,
,00:04:56,93,,,,,
,00:04:57,93,,,,,
,00:04:58,93,,,,,
,00:04:59,93,,,,,
,00:05:00,93,,,,,
,00:05:01,93,,,,,
,00:05:02,93,,,,,
,00:05:03,93,,,,,
,00:05:04,95,,,,,
,00:05:05,96,,,,,
,00:05:06,96,,,,,
,00:05:07,96,,,,,
,00:05:08,95,,,,,
,00:05:09,95,,,,,
,00:05:10,95,,,,,
,00:05:11,95,,,,,
,00:05:12,95,,,,,
