Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
10,00:00:00,91,13-04-2023,15:31:06,00:32:20,70,7
,00:00:01,91,,,,,
,00:00:02,93,,,,,
,00:00:03,94,,,,,
,00:00:04,94,,,,,
,00:00:05,94,,,,,
,00:00:06,95,,,,,
,00:00:07,94,,,,,
,00:00:08,92,,,,,
,00:00:09,92,,,,,
,00:00:10,91,,,,,
,00:00:11,89,,,,,
,00:00:12,87,,,,,
,00:00:13,84,,,,,
,00:00:14,82,,,,,
,00:00:15,80,,,,,
,00:00:16,80,,,,,
,00:00:17,79,,,,,
,00:00:18,78,,,,,
,00:00:19,77,,,,,
,00:00:20,77,,,,,
,00:00:21,76,,,,,
,00:00:22,76,,,,,
,00:00:23,75,,,,,
,00:00:24,74,,,,,
,00:00:25,73,,,,,
,00:00:26,73,,,,,
,00:00:27,73,,,,,
,00:00:28,73,,,,,
,00:00:29,73,,,,,
,00:00:30,72,,,,,
,00:00:31,73,,,,,
,00:00:32,74,,,,,
,00:00:33,74,,,,,
,00:00:34,74,,,,,
,00:00:35,77,,,,,
,00:00:36,77,,,,,
,00:00:37,77,,,,,
,00:00:38,77,,,,,
,00:00:39,77,,,,,
,00:00:40,76,,,,,
,00:00:41,74,,,,,
,00:00:42,73,,,,,
,00:00:43,74,,,,,
,00:00:44,74,,,,,
,00:00:45,74,,,,,
,00:00:46,74,,,,,
,00:00:47,74,,,,,
,00:00:48,74,,,,,
,00:00:49,73,,,,,
,00:00:50,73,,,,,
,00:00:51,72,,,,,
,00:00:52,72,,,,,
,00:00:53,72,,,,,
,00:00:54,72,,,,,
,00:00:55,72,,,,,
,00:00:56,71,,,,,
,00:00:57,70,,,,,
,00:00:58,70,,,,,
,00:00:59,70,,,,,
,00:01:00,70,,,,,
,00:01:01,69,,,,,
,00:01:02,69,,,,,
,00:01:03,69,,,,,
,00:01:04,70,,,,,
,00:01:05,70,,,,,
,00:01:06,71,,,,,
,00:01:07,71,,,,,
,00:01:08,70,,,,,
,00:01:09,70,,,,,
,00:01:10,69,,,,,
,00:01:11,69,,,,,
,00:01:12,69,,,,,
,00:01:13,70,,,,,
,00:01:14,72,,,,,
,00:01:15,73,,,,,
,00:01:16,73,,,,,
,00:01:17,74,,,,,
,00:01:18,74,,,,,
,00:01:19,73,,,,,
,00:01:20,73,,,,,
,00:01:21,71,,,,,
,00:01:22,71,,,,,
,00:01:23,71,,,,,
,00:01:24,71,,,,,
,00:01:25,71,,,,,
,00:01:26,70,,,,,
,00:01:27,71,,,,,
,00:01:28,71,,,,,
,00:01:29,72,,,,,
,00:01:30,72,,,,,
,00:01:31,71,,,,,
,00:01:32,70,,,,,
,00:01:33,69,,,,,
,00:01:34,69,,,,,
,00:01:35,69,,,,,
,00:01:36,68,,,,,
,00:01:37,68,,,,,
,00:01:38,68,,,,,
,00:01:39,69,,,,,
,00:01:40,70,,,,,
,00:01:41,70,,,,,
,00:01:42,69,,,,,
,00:01:43,68,,,,,
,00:01:44,68,,,,,
,00:01:45,68,,,,,
,00:01:46,68,,,,,
,00:01:47,68,,,,,
,00:01:48,68,,,,,
,00:01:49,68,,,,,
,00:01:50,67,,,,,
,00:01:51,68,,,,,
,00:01:52,69,,,,,
,00:01:53,71,,,,,
,00:01:54,74,,,,,
,00:01:55,74,,,,,
,00:01:56,75,,,,,
,00:01:57,75,,,,,
,00:01:58,74,,,,,
,00:01:59,72,,,,,
,00:02:00,71,,,,,
,00:02:01,71,,,,,
,00:02:02,72,,,,,
,00:02:03,72,,,,,
,00:02:04,72,,,,,
,00:02:05,72,,,,,
,00:02:06,71,,,,,
,00:02:07,72,,,,,
,00:02:08,72,,,,,
,00:02:09,73,,,,,
,00:02:10,73,,,,,
,00:02:11,72,,,,,
,00:02:12,71,,,,,
,00:02:13,71,,,,,
,00:02:14,71,,,,,
,00:02:15,70,,,,,
,00:02:16,70,,,,,
,00:02:17,69,,,,,
,00:02:18,69,,,,,
,00:02:19,69,,,,,
,00:02:20,69,,,,,
,00:02:21,69,,,,,
,00:02:22,68,,,,,
,00:02:23,68,,,,,
,00:02:24,68,,,,,
,00:02:25,68,,,,,
,00:02:26,68,,,,,
,00:02:27,69,,,,,
,00:02:28,69,,,,,
,00:02:29,72,,,,,
,00:02:30,73,,,,,
,00:02:31,73,,,,,
,00:02:32,73,,,,,
,00:02:33,72,,,,,
,00:02:34,72,,,,,
,00:02:35,71,,,,,
,00:02:36,70,,,,,
,00:02:37,70,,,,,
,00:02:38,70,,,,,
,00:02:39,71,,,,,
,00:02:40,71,,,,,
,00:02:41,70,,,,,
,00:02:42,70,,,,,
,00:02:43,69,,,,,
,00:02:44,68,,,,,
,00:02:45,68,,,,,
,00:02:46,68,,,,,
,00:02:47,67,,,,,
,00:02:48,67,,,,,
,00:02:49,67,,,,,
,00:02:50,67,,,,,
,00:02:51,67,,,,,
,00:02:52,66,,,,,
,00:02:53,66,,,,,
,00:02:54,66,,,,,
,00:02:55,66,,,,,
,00:02:56,66,,,,,
,00:02:57,67,,,,,
,00:02:58,68,,,,,
,00:02:59,68,,,,,
,00:03:00,67,,,,,
,00:03:01,68,,,,,
,00:03:02,68,,,,,
,00:03:03,68,,,,,
,00:03:04,69,,,,,
,00:03:05,69,,,,,
,00:03:06,71,,,,,
,00:03:07,71,,,,,
,00:03:08,72,,,,,
,00:03:09,73,,,,,
,00:03:10,75,,,,,
,00:03:11,76,,,,,
,00:03:12,74,,,,,
,00:03:13,74,,,,,
,00:03:14,71,,,,,
