Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
5,00:00:00,96,07-04-2023,16:11:33,00:35:18,80,59
,00:00:01,92,,,,,
,00:00:02,85,,,,,
,00:00:03,77,,,,,
,00:00:04,76,,,,,
,00:00:05,75,,,,,
,00:00:06,75,,,,,
,00:00:07,75,,,,,
,00:00:08,76,,,,,
,00:00:09,76,,,,,
,00:00:10,73,,,,,
,00:00:11,72,,,,,
,00:00:12,72,,,,,
,00:00:13,72,,,,,
,00:00:14,74,,,,,
,00:00:15,78,,,,,
,00:00:16,83,,,,,
,00:00:17,86,,,,,
,00:00:18,86,,,,,
,00:00:19,85,,,,,
,00:00:20,83,,,,,
,00:00:21,82,,,,,
,00:00:22,82,,,,,
,00:00:23,79,,,,,
,00:00:24,78,,,,,
,00:00:25,77,,,,,
,00:00:26,78,,,,,
,00:00:27,80,,,,,
,00:00:28,81,,,,,
,00:00:29,82,,,,,
,00:00:30,82,,,,,
,00:00:31,83,,,,,
,00:00:32,83,,,,,
,00:00:33,84,,,,,
,00:00:34,84,,,,,
,00:00:35,83,,,,,
,00:00:36,83,,,,,
,00:00:37,83,,,,,
,00:00:38,83,,,,,
,00:00:39,83,,,,,
,00:00:40,82,,,,,
,00:00:41,82,,,,,
,00:00:42,82,,,,,
,00:00:43,82,,,,,
,00:00:44,80,,,,,
,00:00:45,79,,,,,
,00:00:46,79,,,,,
,00:00:47,80,,,,,
,00:00:48,80,,,,,
,00:00:49,80,,,,,
,00:00:50,80,,,,,
,00:00:51,79,,,,,
,00:00:52,79,,,,,
,00:00:53,77,,,,,
,00:00:54,77,,,,,
,00:00:55,77,,,,,
,00:00:56,78,,,,,
,00:00:57,80,,,,,
,00:00:58,81,,,,,
,00:00:59,81,,,,,
,00:01:00,81,,,,,
,00:01:01,83,,,,,
,00:01:02,90,,,,,
,00:01:03,92,,,,,
,00:01:04,93,,,,,
,00:01:05,94,,,,,
,00:01:06,94,,,,,
,00:01:07,89,,,,,
,00:01:08,82,,,,,
,00:01:09,82,,,,,
,00:01:10,73,,,,,
,00:01:11,73,,,,,
,00:01:12,73,,,,,
,00:01:13,83,,,,,
,00:01:14,85,,,,,
,00:01:15,85,,,,,
,00:01:16,84,,,,,
,00:01:17,83,,,,,
,00:01:18,82,,,,,
,00:01:19,82,,,,,
,00:01:20,82,,,,,
,00:01:21,84,,,,,
,00:01:22,85,,,,,
,00:01:23,85,,,,,
,00:01:24,86,,,,,
,00:01:25,87,,,,,
,00:01:26,89,,,,,
,00:01:27,90,,,,,
,00:01:28,91,,,,,
,00:01:29,92,,,,,
,00:01:30,92,,,,,
,00:01:31,92,,,,,
,00:01:32,92,,,,,
,00:01:33,92,,,,,
,00:01:34,92,,,,,
,00:01:35,91,,,,,
,00:01:36,90,,,,,
,00:01:37,89,,,,,
,00:01:38,86,,,,,
,00:01:39,85,,,,,
,00:01:40,87,,,,,
,00:01:41,88,,,,,
,00:01:42,89,,,,,
,00:01:43,90,,,,,
,00:01:44,89,,,,,
,00:01:45,82,,,,,
,00:01:46,80,,,,,
,00:01:47,79,,,,,
,00:01:48,79,,,,,
,00:01:49,79,,,,,
,00:01:50,80,,,,,
,00:01:51,81,,,,,
,00:01:52,82,,,,,
,00:01:53,75,,,,,
,00:01:54,74,,,,,
,00:01:55,73,,,,,
,00:01:56,73,,,,,
,00:01:57,74,,,,,
,00:01:58,76,,,,,
,00:01:59,77,,,,,
,00:02:00,78,,,,,
,00:02:01,78,,,,,
,00:02:02,78,,,,,
,00:02:03,76,,,,,
,00:02:04,75,,,,,
,00:02:05,75,,,,,
