Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
13,00:00:00,97,18-04-2023,14:27:37,00:33:24,74,14
,00:00:01,97,,,,,
,00:00:02,98,,,,,
,00:00:03,99,,,,,
,00:00:04,99,,,,,
,00:00:05,98,,,,,
,00:00:06,98,,,,,
,00:00:07,98,,,,,
,00:00:08,96,,,,,
,00:00:09,95,,,,,
,00:00:10,95,,,,,
,00:00:11,94,,,,,
,00:00:12,92,,,,,
,00:00:13,91,,,,,
,00:00:14,90,,,,,
,00:00:15,90,,,,,
,00:00:16,90,,,,,
,00:00:17,90,,,,,
,00:00:18,89,,,,,
,00:00:19,88,,,,,
,00:00:20,88,,,,,
,00:00:21,87,,,,,
,00:00:22,84,,,,,
,00:00:23,83,,,,,
,00:00:24,82,,,,,
,00:00:25,82,,,,,
,00:00:26,82,,,,,
,00:00:27,82,,,,,
,00:00:28,82,,,,,
,00:00:29,83,,,,,
,00:00:30,83,,,,,
,00:00:31,83,,,,,
,00:00:32,82,,,,,
,00:00:33,82,,,,,
,00:00:34,82,,,,,
,00:00:35,82,,,,,
,00:00:36,82,,,,,
,00:00:37,82,,,,,
,00:00:38,82,,,,,
,00:00:39,81,,,,,
,00:00:40,81,,,,,
,00:00:41,81,,,,,
,00:00:42,81,,,,,
,00:00:43,82,,,,,
,00:00:44,82,,,,,
,00:00:45,82,,,,,
,00:00:46,82,,,,,
,00:00:47,81,,,,,
,00:00:48,81,,,,,
,00:00:49,81,,,,,
,00:00:50,81,,,,,
,00:00:51,79,,,,,
,00:00:52,79,,,,,
,00:00:53,79,,,,,
,00:00:54,79,,,,,
,00:00:55,79,,,,,
,00:00:56,79,,,,,
,00:00:57,79,,,,,
,00:00:58,78,,,,,
,00:00:59,77,,,,,
,00:01:00,77,,,,,
,00:01:01,77,,,,,
,00:01:02,76,,,,,
,00:01:03,75,,,,,
,00:01:04,74,,,,,
,00:01:05,74,,,,,
,00:01:06,73,,,,,
,00:01:07,73,,,,,
,00:01:08,72,,,,,
,00:01:09,71,,,,,
,00:01:10,71,,,,,
,00:01:11,72,,,,,
,00:01:12,72,,,,,
,00:01:13,72,,,,,
,00:01:14,71,,,,,
,00:01:15,71,,,,,
,00:01:16,71,,,,,
,00:01:17,71,,,,,
,00:01:18,70,,,,,
,00:01:19,70,,,,,
,00:01:20,71,,,,,
,00:01:21,70,,,,,
,00:01:22,70,,,,,
,00:01:23,69,,,,,
,00:01:24,68,,,,,
,00:01:25,68,,,,,
,00:01:26,68,,,,,
,00:01:27,68,,,,,
,00:01:28,68,,,,,
,00:01:29,67,,,,,
,00:01:30,67,,,,,
,00:01:31,67,,,,,
,00:01:32,67,,,,,
,00:01:33,67,,,,,
,00:01:34,67,,,,,
,00:01:35,67,,,,,
,00:01:36,67,,,,,
,00:01:37,67,,,,,
,00:01:38,67,,,,,
,00:01:39,67,,,,,
,00:01:40,68,,,,,
,00:01:41,68,,,,,
,00:01:42,68,,,,,
,00:01:43,67,,,,,
,00:01:44,68,,,,,
,00:01:45,68,,,,,
,00:01:46,68,,,,,
,00:01:47,70,,,,,
,00:01:48,71,,,,,
,00:01:49,72,,,,,
,00:01:50,73,,,,,
,00:01:51,73,,,,,
,00:01:52,73,,,,,
,00:01:53,73,,,,,
,00:01:54,74,,,,,
,00:01:55,74,,,,,
,00:01:56,74,,,,,
,00:01:57,75,,,,,
,00:01:58,75,,,,,
,00:01:59,75,,,,,
,00:02:00,75,,,,,
,00:02:01,75,,,,,
,00:02:02,75,,,,,
,00:02:03,75,,,,,
,00:02:04,75,,,,,
,00:02:05,75,,,,,
,00:02:06,75,,,,,
,00:02:07,74,,,,,
,00:02:08,74,,,,,
,00:02:09,73,,,,,
,00:02:10,72,,,,,
,00:02:11,71,,,,,
,00:02:12,70,,,,,
,00:02:13,70,,,,,
,00:02:14,70,,,,,
,00:02:15,69,,,,,
,00:02:16,69,,,,,
,00:02:17,69,,,,,
,00:02:18,69,,,,,
,00:02:19,68,,,,,
,00:02:20,68,,,,,
,00:02:21,68,,,,,
,00:02:22,68,,,,,
,00:02:23,68,,,,,
,00:02:24,68,,,,,
,00:02:25,68,,,,,
,00:02:26,68,,,,,
,00:02:27,68,,,,,
,00:02:28,69,,,,,
,00:02:29,69,,,,,
,00:02:30,69,,,,,
,00:02:31,69,,,,,
,00:02:32,69,,,,,
,00:02:33,70,,,,,
,00:02:34,70,,,,,
,00:02:35,70,,,,,
,00:02:36,70,,,,,
,00:02:37,71,,,,,
,00:02:38,71,,,,,
,00:02:39,71,,,,,
,00:02:40,71,,,,,
,00:02:41,70,,,,,
,00:02:42,70,,,,,
,00:02:43,70,,,,,
,00:02:44,70,,,,,
,00:02:45,70,,,,,
,00:02:46,70,,,,,
,00:02:47,70,,,,,
,00:02:48,69,,,,,
,00:02:49,69,,,,,
,00:02:50,69,,,,,
,00:02:51,69,,,,,
,00:02:52,69,,,,,
,00:02:53,69,,,,,
,00:02:54,69,,,,,
,00:02:55,69,,,,,
,00:02:56,69,,,,,
,00:02:57,69,,,,,
,00:02:58,69,,,,,
,00:02:59,69,,,,,
,00:03:00,69,,,,,
,00:03:01,69,,,,,
,00:03:02,69,,,,,
,00:03:03,69,,,,,
