Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
20,00:00:00,124,21-04-2023,16:34:55,00:36:11,87,135
,00:00:01,124,,,,,
,00:00:02,124,,,,,
,00:00:03,124,,,,,
,00:00:04,123,,,,,
,00:00:05,122,,,,,
,00:00:06,122,,,,,
,00:00:07,119,,,,,
,00:00:08,119,,,,,
,00:00:09,119,,,,,
,00:00:10,118,,,,,
,00:00:11,118,,,,,
,00:00:12,117,,,,,
,00:00:13,113,,,,,
,00:00:14,112,,,,,
,00:00:15,111,,,,,
,00:00:16,111,,,,,
,00:00:17,110,,,,,
,00:00:18,108,,,,,
,00:00:19,107,,,,,
,00:00:20,105,,,,,
,00:00:21,104,,,,,
,00:00:22,103,,,,,
,00:00:23,102,,,,,
,00:00:24,102,,,,,
,00:00:25,101,,,,,
,00:00:26,101,,,,,
,00:00:27,101,,,,,
,00:00:28,101,,,,,
,00:00:29,101,,,,,
,00:00:30,101,,,,,
,00:00:31,100,,,,,
,00:00:32,99,,,,,
,00:00:33,99,,,,,
,00:00:34,98,,,,,
,00:00:35,98,,,,,
,00:00:36,98,,,,,
,00:00:37,99,,,,,
,00:00:38,101,,,,,
,00:00:39,102,,,,,
,00:00:40,102,,,,,
,00:00:41,101,,,,,
,00:00:42,101,,,,,
,00:00:43,101,,,,,
,00:00:44,100,,,,,
,00:00:45,99,,,,,
,00:00:46,98,,,,,
,00:00:47,97,,,,,
,00:00:48,97,,,,,
,00:00:49,97,,,,,
,00:00:50,98,,,,,
,00:00:51,99,,,,,
,00:00:52,100,,,,,
,00:00:53,100,,,,,
,00:00:54,99,,,,,
,00:00:55,98,,,,,
,00:00:56,98,,,,,
,00:00:57,99,,,,,
,00:00:58,100,,,,,
,00:00:59,101,,,,,
,00:01:00,102,,,,,
,00:01:01,102,,,,,
,00:01:02,102,,,,,
,00:01:03,101,,,,,
,00:01:04,99,,,,,
,00:01:05,98,,,,,
,00:01:06,98,,,,,
,00:01:07,98,,,,,
,00:01:08,99,,,,,
,00:01:09,99,,,,,
,00:01:10,99,,,,,
,00:01:11,98,,,,,
,00:01:12,97,,,,,
,00:01:13,94,,,,,
,00:01:14,93,,,,,
,00:01:15,92,,,,,
,00:01:16,91,,,,,
,00:01:17,91,,,,,
,00:01:18,91,,,,,
,00:01:19,93,,,,,
,00:01:20,94,,,,,
,00:01:21,95,,,,,
,00:01:22,94,,,,,
,00:01:23,94,,,,,
,00:01:24,94,,,,,
,00:01:25,94,,,,,
,00:01:26,94,,,,,
,00:01:27,94,,,,,
,00:01:28,95,,,,,
,00:01:29,95,,,,,
,00:01:30,95,,,,,
,00:01:31,94,,,,,
,00:01:32,94,,,,,
,00:01:33,92,,,,,
,00:01:34,91,,,,,
,00:01:35,91,,,,,
,00:01:36,91,,,,,
,00:01:37,91,,,,,
,00:01:38,92,,,,,
,00:01:39,92,,,,,
,00:01:40,92,,,,,
,00:01:41,92,,,,,
,00:01:42,92,,,,,
,00:01:43,92,,,,,
,00:01:44,92,,,,,
,00:01:45,92,,,,,
,00:01:46,92,,,,,
,00:01:47,92,,,,,
,00:01:48,92,,,,,
,00:01:49,92,,,,,
,00:01:50,92,,,,,
,00:01:51,93,,,,,
,00:01:52,93,,,,,
,00:01:53,93,,,,,
,00:01:54,93,,,,,
,00:01:55,93,,,,,
,00:01:56,93,,,,,
,00:01:57,92,,,,,
,00:01:58,92,,,,,
,00:01:59,92,,,,,
,00:02:00,93,,,,,
,00:02:01,93,,,,,
,00:02:02,93,,,,,
,00:02:03,93,,,,,
,00:02:04,94,,,,,
,00:02:05,94,,,,,
,00:02:06,95,,,,,
,00:02:07,94,,,,,
,00:02:08,94,,,,,
,00:02:09,93,,,,,
,00:02:10,93,,,,,
,00:02:11,93,,,,,
,00:02:12,93,,,,,
,00:02:13,92,,,,,
,00:02:14,91,,,,,
,00:02:15,90,,,,,
,00:02:16,90,,,,,
,00:02:17,90,,,,,
,00:02:18,90,,,,,
,00:02:19,91,,,,,
,00:02:20,91,,,,,
,00:02:21,90,,,,,
,00:02:22,90,,,,,
,00:02:23,90,,,,,
,00:02:24,89,,,,,
,00:02:25,89,,,,,
,00:02:26,89,,,,,
,00:02:27,89,,,,,
,00:02:28,89,,,,,
,00:02:29,89,,,,,
,00:02:30,89,,,,,
,00:02:31,90,,,,,
,00:02:32,89,,,,,
,00:02:33,89,,,,,
,00:02:34,89,,,,,
,00:02:35,89,,,,,
,00:02:36,90,,,,,
,00:02:37,90,,,,,
,00:02:38,91,,,,,
,00:02:39,91,,,,,
,00:02:40,90,,,,,
,00:02:41,90,,,,,
,00:02:42,89,,,,,
,00:02:43,90,,,,,
,00:02:44,90,,,,,
,00:02:45,91,,,,,
,00:02:46,91,,,,,
,00:02:47,91,,,,,
,00:02:48,89,,,,,
,00:02:49,88,,,,,
,00:02:50,88,,,,,
,00:02:51,88,,,,,
,00:02:52,89,,,,,
,00:02:53,89,,,,,
,00:02:54,89,,,,,
,00:02:55,89,,,,,
,00:02:56,89,,,,,
,00:02:57,90,,,,,
,00:02:58,91,,,,,
,00:02:59,94,,,,,
,00:03:00,96,,,,,
,00:03:01,97,,,,,
,00:03:02,98,,,,,
,00:03:03,98,,,,,
,00:03:04,98,,,,,
,00:03:05,97,,,,,
,00:03:06,97,,,,,
,00:03:07,96,,,,,
,00:03:08,96,,,,,
,00:03:09,97,,,,,
,00:03:10,99,,,,,
,00:03:11,100,,,,,
,00:03:12,102,,,,,
,00:03:13,102,,,,,
,00:03:14,103,,,,,
,00:03:15,103,,,,,
,00:03:16,103,,,,,
,00:03:17,101,,,,,
,00:03:18,101,,,,,
,00:03:19,101,,,,,
,00:03:20,102,,,,,
,00:03:21,103,,,,,
,00:03:22,104,,,,,
,00:03:23,105,,,,,
,00:03:24,105,,,,,
,00:03:25,106,,,,,
,00:03:26,105,,,,,
,00:03:27,104,,,,,
,00:03:28,103,,,,,
,00:03:29,101,,,,,
,00:03:30,98,,,,,
,00:03:31,97,,,,,
,00:03:32,97,,,,,
,00:03:33,98,,,,,
,00:03:34,99,,,,,
,00:03:35,99,,,,,
,00:03:36,101,,,,,
,00:03:37,102,,,,,
,00:03:38,101,,,,,
,00:03:39,101,,,,,
,00:03:40,99,,,,,
,00:03:41,99,,,,,
,00:03:42,98,,,,,
,00:03:43,97,,,,,
,00:03:44,97,,,,,
,00:03:45,97,,,,,
,00:03:46,97,,,,,
,00:03:47,98,,,,,
,00:03:48,99,,,,,
,00:03:49,99,,,,,
,00:03:50,100,,,,,
,00:03:51,100,,,,,
,00:03:52,100,,,,,
,00:03:53,99,,,,,
,00:03:54,98,,,,,
,00:03:55,97,,,,,
,00:03:56,97,,,,,
,00:03:57,96,,,,,
,00:03:58,96,,,,,
,00:03:59,96,,,,,
,00:04:00,94,,,,,
,00:04:01,94,,,,,
,00:04:02,94,,,,,
,00:04:03,94,,,,,
,00:04:04,93,,,,,
,00:04:05,93,,,,,
,00:04:06,90,,,,,
,00:04:07,88,,,,,
,00:04:08,87,,,,,
,00:04:09,86,,,,,
,00:04:10,86,,,,,
,00:04:11,85,,,,,
,00:04:12,85,,,,,
,00:04:13,84,,,,,
,00:04:14,84,,,,,
,00:04:15,83,,,,,
,00:04:16,82,,,,,
,00:04:17,81,,,,,
,00:04:18,81,,,,,
,00:04:19,82,,,,,
,00:04:20,82,,,,,
,00:04:21,82,,,,,
,00:04:22,82,,,,,
,00:04:23,82,,,,,
,00:04:24,81,,,,,
,00:04:25,81,,,,,
,00:04:26,81,,,,,
,00:04:27,81,,,,,
,00:04:28,81,,,,,
,00:04:29,82,,,,,
,00:04:30,82,,,,,
,00:04:31,83,,,,,
,00:04:32,83,,,,,
,00:04:33,81,,,,,
,00:04:34,80,,,,,
,00:04:35,80,,,,,
,00:04:36,80,,,,,
,00:04:37,80,,,,,
,00:04:38,81,,,,,
,00:04:39,81,,,,,
,00:04:40,81,,,,,
,00:04:41,81,,,,,
,00:04:42,82,,,,,
,00:04:43,82,,,,,
,00:04:44,82,,,,,
,00:04:45,82,,,,,
,00:04:46,82,,,,,
,00:04:47,82,,,,,
,00:04:48,82,,,,,
,00:04:49,83,,,,,
,00:04:50,83,,,,,
,00:04:51,83,,,,,
,00:04:52,83,,,,,
,00:04:53,83,,,,,
,00:04:54,82,,,,,
,00:04:55,82,,,,,
,00:04:56,83,,,,,
,00:04:57,83,,,,,
,00:04:58,84,,,,,
,00:04:59,83,,,,,
,00:05:00,83,,,,,
,00:05:01,83,,,,,
,00:05:02,83,,,,,
,00:05:03,83,,,,,
,00:05:04,83,,,,,
,00:05:05,83,,,,,
,00:05:06,83,,,,,
,00:05:07,83,,,,,
,00:05:08,83,,,,,
,00:05:09,84,,,,,
,00:05:10,84,,,,,
,00:05:11,85,,,,,
,00:05:12,85,,,,,
,00:05:13,83,,,,,
,00:05:14,82,,,,,
,00:05:15,82,,,,,
,00:05:16,82,,,,,
,00:05:17,83,,,,,
,00:05:18,83,,,,,
,00:05:19,83,,,,,
,00:05:20,84,,,,,
,00:05:21,83,,,,,
,00:05:22,83,,,,,
,00:05:23,82,,,,,
,00:05:24,82,,,,,
,00:05:25,83,,,,,
,00:05:26,83,,,,,
,00:05:27,84,,,,,
,00:05:28,84,,,,,
,00:05:29,85,,,,,
,00:05:30,85,,,,,
,00:05:31,85,,,,,
,00:05:32,84,,,,,
,00:05:33,84,,,,,
,00:05:34,84,,,,,
,00:05:35,84,,,,,
,00:05:36,84,,,,,
,00:05:37,83,,,,,
,00:05:38,83,,,,,
,00:05:39,83,,,,,
,00:05:40,83,,,,,
,00:05:41,83,,,,,
,00:05:42,83,,,,,
,00:05:43,83,,,,,
,00:05:44,83,,,,,
,00:05:45,83,,,,,
,00:05:46,83,,,,,
,00:05:47,83,,,,,
,00:05:48,84,,,,,
,00:05:49,83,,,,,
,00:05:50,83,,,,,
,00:05:51,83,,,,,
,00:05:52,82,,,,,
,00:05:53,82,,,,,
,00:05:54,83,,,,,
,00:05:55,83,,,,,
,00:05:56,83,,,,,
,00:05:57,84,,,,,
,00:05:58,84,,,,,
,00:05:59,84,,,,,
,00:06:00,84,,,,,
,00:06:01,84,,,,,
,00:06:02,84,,,,,
,00:06:03,84,,,,,
,00:06:04,84,,,,,
,00:06:05,84,,,,,
,00:06:06,84,,,,,
,00:06:07,84,,,,,
,00:06:08,84,,,,,
,00:06:09,84,,,,,
,00:06:10,84,,,,,
,00:06:11,84,,,,,
,00:06:12,84,,,,,
,00:06:13,84,,,,,
,00:06:14,84,,,,,
,00:06:15,84,,,,,
,00:06:16,84,,,,,
,00:06:17,84,,,,,
