Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
19,00:00:00,93,21-04-2023,09:59:26,00:30:21,85,101
,00:00:01,93,,,,,
,00:00:02,92,,,,,
,00:00:03,91,,,,,
,00:00:04,89,,,,,
,00:00:05,83,,,,,
,00:00:06,83,,,,,
,00:00:07,80,,,,,
,00:00:08,80,,,,,
,00:00:09,80,,,,,
,00:00:10,80,,,,,
,00:00:11,81,,,,,
,00:00:12,81,,,,,
,00:00:13,81,,,,,
,00:00:14,81,,,,,
,00:00:15,80,,,,,
,00:00:16,80,,,,,
,00:00:17,79,,,,,
,00:00:18,77,,,,,
,00:00:19,77,,,,,
,00:00:20,76,,,,,
,00:00:21,76,,,,,
,00:00:22,79,,,,,
,00:00:23,80,,,,,
,00:00:24,80,,,,,
,00:00:25,80,,,,,
,00:00:26,79,,,,,
,00:00:27,78,,,,,
,00:00:28,76,,,,,
,00:00:29,76,,,,,
,00:00:30,76,,,,,
,00:00:31,76,,,,,
,00:00:32,75,,,,,
,00:00:33,75,,,,,
,00:00:34,76,,,,,
,00:00:35,75,,,,,
,00:00:36,75,,,,,
,00:00:37,74,,,,,
,00:00:38,74,,,,,
,00:00:39,74,,,,,
,00:00:40,75,,,,,
,00:00:41,76,,,,,
,00:00:42,76,,,,,
,00:00:43,75,,,,,
,00:00:44,75,,,,,
,00:00:45,74,,,,,
,00:00:46,72,,,,,
,00:00:47,71,,,,,
,00:00:48,70,,,,,
,00:00:49,70,,,,,
,00:00:50,69,,,,,
,00:00:51,69,,,,,
,00:00:52,69,,,,,
,00:00:53,69,,,,,
,00:00:54,68,,,,,
,00:00:55,69,,,,,
,00:00:56,69,,,,,
,00:00:57,68,,,,,
,00:00:58,68,,,,,
,00:00:59,69,,,,,
,00:01:00,69,,,,,
,00:01:01,69,,,,,
,00:01:02,69,,,,,
,00:01:03,69,,,,,
,00:01:04,70,,,,,
,00:01:05,69,,,,,
,00:01:06,69,,,,,
,00:01:07,69,,,,,
,00:01:08,70,,,,,
,00:01:09,71,,,,,
,00:01:10,71,,,,,
,00:01:11,75,,,,,
,00:01:12,77,,,,,
,00:01:13,78,,,,,
,00:01:14,79,,,,,
,00:01:15,80,,,,,
,00:01:16,80,,,,,
,00:01:17,81,,,,,
,00:01:18,81,,,,,
,00:01:19,81,,,,,
,00:01:20,81,,,,,
,00:01:21,81,,,,,
,00:01:22,81,,,,,
,00:01:23,81,,,,,
,00:01:24,81,,,,,
,00:01:25,81,,,,,
,00:01:26,82,,,,,
,00:01:27,82,,,,,
,00:01:28,82,,,,,
,00:01:29,81,,,,,
,00:01:30,80,,,,,
,00:01:31,79,,,,,
