Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
11,00:00:00,98,17-04-2023,09:18:57,00:31:58,75,19
,00:00:01,98,,,,,
,00:00:02,97,,,,,
,00:00:03,97,,,,,
,00:00:04,98,,,,,
,00:00:05,98,,,,,
,00:00:06,99,,,,,
,00:00:07,99,,,,,
,00:00:08,98,,,,,
,00:00:09,99,,,,,
,00:00:10,99,,,,,
,00:00:11,99,,,,,
,00:00:12,99,,,,,
,00:00:13,100,,,,,
,00:00:14,99,,,,,
,00:00:15,100,,,,,
,00:00:16,100,,,,,
,00:00:17,100,,,,,
,00:00:18,100,,,,,
,00:00:19,101,,,,,
,00:00:20,101,,,,,
,00:00:21,101,,,,,
,00:00:22,101,,,,,
,00:00:23,101,,,,,
,00:00:24,101,,,,,
,00:00:25,101,,,,,
,00:00:26,101,,,,,
,00:00:27,101,,,,,
,00:00:28,101,,,,,
,00:00:29,101,,,,,
,00:00:30,101,,,,,
,00:00:31,99,,,,,
,00:00:32,92,,,,,
,00:00:33,92,,,,,
,00:00:34,92,,,,,
,00:00:35,91,,,,,
,00:00:36,91,,,,,
,00:00:37,92,,,,,
,00:00:38,94,,,,,
,00:00:39,94,,,,,
,00:00:40,95,,,,,
,00:00:41,96,,,,,
,00:00:42,98,,,,,
,00:00:43,98,,,,,
,00:00:44,98,,,,,
,00:00:45,98,,,,,
,00:00:46,98,,,,,
,00:00:47,99,,,,,
,00:00:48,99,,,,,
,00:00:49,101,,,,,
,00:00:50,101,,,,,
,00:00:51,101,,,,,
,00:00:52,98,,,,,
,00:00:53,98,,,,,
,00:00:54,97,,,,,
,00:00:55,98,,,,,
,00:00:56,98,,,,,
,00:00:57,98,,,,,
,00:00:58,99,,,,,
,00:00:59,99,,,,,
,00:01:00,98,,,,,
,00:01:01,98,,,,,
,00:01:02,95,,,,,
,00:01:03,94,,,,,
,00:01:04,94,,,,,
,00:01:05,90,,,,,
,00:01:06,90,,,,,
,00:01:07,82,,,,,
,00:01:08,82,,,,,
,00:01:09,80,,,,,
,00:01:10,80,,,,,
,00:01:11,80,,,,,
,00:01:12,80,,,,,
,00:01:13,80,,,,,
,00:01:14,80,,,,,
,00:01:15,79,,,,,
,00:01:16,79,,,,,
,00:01:17,78,,,,,
,00:01:18,78,,,,,
,00:01:19,77,,,,,
,00:01:20,77,,,,,
,00:01:21,77,,,,,
,00:01:22,76,,,,,
,00:01:23,76,,,,,
,00:01:24,76,,,,,
,00:01:25,76,,,,,
,00:01:26,75,,,,,
,00:01:27,75,,,,,
,00:01:28,75,,,,,
,00:01:29,74,,,,,
,00:01:30,74,,,,,
,00:01:31,75,,,,,
,00:01:32,75,,,,,
,00:01:33,75,,,,,
,00:01:34,74,,,,,
,00:01:35,74,,,,,
,00:01:36,74,,,,,
,00:01:37,75,,,,,
,00:01:38,74,,,,,
,00:01:39,74,,,,,
,00:01:40,73,,,,,
,00:01:41,73,,,,,
,00:01:42,73,,,,,
,00:01:43,72,,,,,
,00:01:44,71,,,,,
,00:01:45,71,,,,,
,00:01:46,71,,,,,
,00:01:47,71,,,,,
,00:01:48,71,,,,,
,00:01:49,71,,,,,
,00:01:50,70,,,,,
,00:01:51,70,,,,,
,00:01:52,70,,,,,
,00:01:53,70,,,,,
,00:01:54,69,,,,,
,00:01:55,69,,,,,
,00:01:56,69,,,,,
,00:01:57,68,,,,,
,00:01:58,68,,,,,
