Player Number,Time,HR (bpm),Date,Start time,Duration,Average heart rate (bpm),Calories
12,00:00:00,111,18-04-2023,13:01:37,00:35:11,94,202
,00:00:01,112,,,,,
,00:00:02,112,,,,,
,00:00:03,111,,,,,
,00:00:04,112,,,,,
,00:00:05,111,,,,,
,00:00:06,108,,,,,
,00:00:07,105,,,,,
,00:00:08,105,,,,,
,00:00:09,105,,,,,
,00:00:10,106,,,,,
,00:00:11,106,,,,,
,00:00:12,105,,,,,
,00:00:13,103,,,,,
,00:00:14,101,,,,,
,00:00:15,98,,,,,
,00:00:16,98,,,,,
,00:00:17,98,,,,,
,00:00:18,98,,,,,
,00:00:19,100,,,,,
,00:00:20,99,,,,,
,00:00:21,99,,,,,
,00:00:22,99,,,,,
,00:00:23,99,,,,,
,00:00:24,98,,,,,
,00:00:25,98,,,,,
,00:00:26,99,,,,,
,00:00:27,100,,,,,
,00:00:28,97,,,,,
,00:00:29,96,,,,,
,00:00:30,94,,,,,
,00:00:31,94,,,,,
,00:00:32,93,,,,,
,00:00:33,91,,,,,
,00:00:34,88,,,,,
,00:00:35,87,,,,,
,00:00:36,88,,,,,
,00:00:37,89,,,,,
,00:00:38,91,,,,,
,00:00:39,92,,,,,
,00:00:40,94,,,,,
,00:00:41,94,,,,,
,00:00:42,93,,,,,
,00:00:43,94,,,,,
,00:00:44,95,,,,,
,00:00:45,97,,,,,
,00:00:46,100,,,,,
,00:00:47,101,,,,,
,00:00:48,102,,,,,
,00:00:49,100,,,,,
,00:00:50,100,,,,,
,00:00:51,100,,,,,
,00:00:52,100,,,,,
,00:00:53,100,,,,,
,00:00:54,99,,,,,
,00:00:55,85,,,,,
,00:00:56,83,,,,,
,00:00:57,82,,,,,
,00:00:58,81,,,,,
,00:00:59,81,,,,,
,00:01:00,81,,,,,
,00:01:01,81,,,,,
,00:01:02,81,,,,,
,00:01:03,81,,,,,
,00:01:04,80,,,,,
,00:01:05,81,,,,,
,00:01:06,85,,,,,
,00:01:07,87,,,,,
,00:01:08,88,,,,,
,00:01:09,85,,,,,
,00:01:10,84,,,,,
,00:01:11,82,,,,,
,00:01:12,85,,,,,
,00:01:13,86,,,,,
,00:01:14,90,,,,,
,00:01:15,91,,,,,
,00:01:16,93,,,,,
,00:01:17,95,,,,,
,00:01:18,96,,,,,
,00:01:19,97,,,,,
,00:01:20,100,,,,,
,00:01:21,102,,,,,
,00:01:22,102,,,,,
,00:01:23,102,,,,,
,00:01:24,102,,,,,
,00:01:25,101,,,,,
,00:01:26,101,,,,,
,00:01:27,102,,,,,
,00:01:28,99,,,,,
,00:01:29,98,,,,,
,00:01:30,96,,,,,
,00:01:31,90,,,,,
,00:01:32,86,,,,,
,00:01:33,84,,,,,
,00:01:34,84,,,,,
,00:01:35,85,,,,,
,00:01:36,85,,,,,
,00:01:37,85,,,,,
,00:01:38,83,,,,,
,00:01:39,80,,,,,
,00:01:40,79,,,,,
,00:01:41,79,,,,,
,00:01:42,80,,,,,
,00:01:43,80,,,,,
,00:01:44,81,,,,,
,00:01:45,80,,,,,
,00:01:46,79,,,,,
,00:01:47,78,,,,,
,00:01:48,79,,,,,
,00:01:49,80,,,,,
,00:01:50,82,,,,,
,00:01:51,82,,,,,
,00:01:52,82,,,,,
,00:01:53,83,,,,,
,00:01:54,84,,,,,
,00:01:55,84,,,,,
,00:01:56,85,,,,,
,00:01:57,85,,,,,
,00:01:58,85,,,,,
,00:01:59,85,,,,,
,00:02:00,86,,,,,
,00:02:01,87,,,,,
,00:02:02,86,,,,,
,00:02:03,87,,,,,
,00:02:04,88,,,,,
,00:02:05,89,,,,,
,00:02:06,89,,,,,
,00:02:07,89,,,,,
,00:02:08,90,,,,,
,00:02:09,90,,,,,
,00:02:10,90,,,,,
,00:02:11,90,,,,,
,00:02:12,90,,,,,
,00:02:13,91,,,,,
,00:02:14,92,,,,,
,00:02:15,92,,,,,
,00:02:16,92,,,,,
,00:02:17,92,,,,,
,00:02:18,93,,,,,
,00:02:19,93,,,,,
,00:02:20,94,,,,,
,00:02:21,93,,,,,
,00:02:22,93,,,,,
,00:02:23,92,,,,,
,00:02:24,90,,,,,
,00:02:25,89,,,,,
,00:02:26,88,,,,,
,00:02:27,90,,,,,
,00:02:28,92,,,,,
,00:02:29,96,,,,,
,00:02:30,97,,,,,
,00:02:31,97,,,,,
,00:02:32,95,,,,,
,00:02:33,93,,,,,
,00:02:34,93,,,,,
,00:02:35,91,,,,,
,00:02:36,91,,,,,
,00:02:37,91,,,,,
,00:02:38,93,,,,,
,00:02:39,94,,,,,
,00:02:40,95,,,,,
,00:02:41,95,,,,,
,00:02:42,95,,,,,
,00:02:43,92,,,,,
,00:02:44,90,,,,,
,00:02:45,90,,,,,
,00:02:46,91,,,,,
,00:02:47,91,,,,,
